#module;#attribute
IUP::Button;ALIGNMENT
IUP::Button;BACKGROUND
IUP::Button;BGCOLOR
IUP::Button;FGCOLOR
IUP::Button;FLAT
IUP::Button;FOCUSONCLICK
IUP::Button;IMAGE
IUP::Button;IMAGEPOSITION
IUP::Button;IMINACTIVE
IUP::Button;IMPRESS
IUP::Button;IMPRESSBORDER
IUP::Button;MARKUP
IUP::Button;PADDING
IUP::Button;SPACING
IUP::Button;TITLE
IUP::Canvas;BACKINGSTORE
IUP::Canvas;BGCOLOR
IUP::Canvas;BORDER
IUP::Canvas;CLIPRECT
IUP::Canvas;CURSOR
IUP::Canvas;DRAGDROP
IUP::Canvas;DRAWABLE
IUP::Canvas;DRAWSIZE
IUP::Canvas;DX
IUP::Canvas;DY
IUP::Canvas;HDC_WMPAINT
IUP::Canvas;HWND
IUP::Canvas;LINEX
IUP::Canvas;LINEY
IUP::Canvas;POSX
IUP::Canvas;POSY
IUP::Canvas;SCROLLBAR
IUP::Canvas;TOUCH
IUP::Canvas;XAUTOHIDE
IUP::Canvas;XDISPLAY
IUP::Canvas;XMAX
IUP::Canvas;XMIN
IUP::Canvas;XSCREEN
IUP::Canvas;XWINDOW
IUP::Canvas;YAUTOHIDE
IUP::Canvas;YMAX
IUP::Canvas;YMIN
IUP::CanvasGL;ACCUM_ALPHA_SIZE
IUP::CanvasGL;ACCUM_BLUE_SIZE
IUP::CanvasGL;ACCUM_GREEN_SIZE
IUP::CanvasGL;ACCUM_RED_SIZE
IUP::CanvasGL;ALPHA_SIZE
IUP::CanvasGL;BLUE_SIZE
IUP::CanvasGL;BUFFER
IUP::CanvasGL;BUFFER_SIZE
IUP::CanvasGL;COLOR
IUP::CanvasGL;COLORMAP
IUP::CanvasGL;CONTEXT
IUP::CanvasGL;DEPTH_SIZE
IUP::CanvasGL;ERROR
IUP::CanvasGL;GREEN_SIZE
IUP::CanvasGL;RED_SIZE
IUP::CanvasGL;REFRESHCONTEXT
IUP::CanvasGL;SHAREDCONTEXT
IUP::CanvasGL;STENCIL_SIZE
IUP::CanvasGL;STEREO
IUP::CanvasGL;VISUAL
IUP::Cells;BGCOLOR
IUP::Cells;BOXED
IUP::Cells;BUFFERIZE
IUP::Cells;CANVAS
IUP::Cells;CLIPPED
IUP::Cells;FIRST_COL
IUP::Cells;FIRST_LINE
IUP::Cells;FULL_VISIBLE
IUP::Cells;IMAGE_CANVAS
IUP::Cells;LIMITS
IUP::Cells;LIMITSL
IUP::Cells;NON_SCROLLABLE_COLS
